id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_q1,home_q2,home_q3,home_q4,away_team,away_conference,away_points,away_q1,away_q2,away_q3,away_q4
400787305,2015,2,regular,2015-09-12T18:00:00.000Z,false,false,15091,3696,Dix Stadium,Kent State,Mid-American,45,16,20,9,0,Delaware State,,13,0,6,0,7
400756913,2015,2,regular,2015-09-12T18:00:00.000Z,false,false,44000,3787,Kenan Memorial Stadium,North Carolina,ACC,53,22,14,17,0,North Carolina A&T,,14,0,0,7,7
400756915,2015,2,regular,2015-09-12T18:00:00.000Z,false,false,23425,3768,Summa Field at InfoCision Stadium,Akron,Mid-American,7,0,7,0,0,Pittsburgh,ACC,24,3,7,7,7
400763595,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,25210,3876,Peden Stadium,Ohio,Mid-American,21,7,7,0,7,Marshall,Conference USA,10,0,7,3,0
400763410,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,37798,3833,Memorial Stadium,Kansas,Big 12,23,10,3,7,3,Memphis,American Athletic,55,10,14,24,7
400603869,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,104213,3795,Kyle Field,Texas A&M,SEC,56,28,21,0,7,Ball State,Mid-American,23,3,0,10,10
400603862,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,29143,3625,Centennial Bank Stadium,Arkansas State,Sun Belt,20,0,17,0,3,Missouri,SEC,27,3,7,14,3
400756892,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,24355,3816,Mackay Stadium,Nevada,Mountain West,20,3,10,0,7,Arizona,Pac-12,44,14,7,13,10
400787418,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,24561,3644,Jim Wacker Field at Bobcat Stadium,Texas State,Sun Belt,63,35,21,7,0,Prairie View,,24,3,14,0,7
400787419,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,17517,3975,Veterans Memorial Stadium,Troy,Sun Belt,44,14,7,6,17,Charleston Southern,,16,7,2,0,7
400763597,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,25401,3735,Gerald J. Ford Stadium,SMU,American Athletic,31,7,0,3,21,North Texas,Conference USA,13,3,3,7,0
400603864,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,88034,3634,Ben Hill Griffin Stadium,Florida,SEC,31,10,0,14,7,East Carolina,American Athletic,24,7,0,7,10
400787416,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,26824,3666,Cajun Field,Louisiana,Sun Belt,44,14,13,7,10,Northwestern State,,17,0,10,7,0
400787417,2015,2,regular,2015-09-12T19:00:00.000Z,false,false,20397,3817,Malone Stadium,Louisiana Monroe,Sun Belt,47,10,30,0,7,Nicholls,,0,0,0,0,0
400763596,2015,2,regular,2015-09-12T19:15:00.000Z,false,false,20118,3918,Foreman Field,Old Dominion,Conference USA,24,7,7,7,3,Norfolk State,,10,0,10,0,0
400763411,2015,2,regular,2015-09-12T19:30:00.000Z,false,false,56262,3646,Boone Pickens Stadium,Oklahoma State,Big 12,32,10,0,10,12,Central Arkansas,,8,0,0,8,0
400603867,2015,2,regular,2015-09-12T19:30:00.000Z,false,true,82178,3994,Williams-Brice Stadium,South Carolina,SEC,22,7,0,6,9,Kentucky,SEC,26,14,10,0,2
400763408,2015,2,regular,2015-09-12T19:30:00.000Z,false,false,44491,4727,McLane Stadium,Baylor,Big 12,66,13,22,14,17,Lamar,,31,7,14,3,7
